 Yemen,YEM,Asia
 Albania,ALB,Europe
 Andorra,AND,Europe
 Armenia,ARM,Europe
 Austria,AUT,Europe
 Azerbaijan,AZE,Europe
 Belarus,BLR,Europe
 Belgium,BEL,Europe
 Bosnia and Herzegovina,BIH,Europe
 Bulgaria,BUL,Europe
 Croatia,CRO,Europe
 Cyprus,CYP,Europe
 Czech Republic (Czechia),CZE,Europe
 Denmark,DEN,Europe
 England,ENG,Europe
 Estonia,EST,Europe
 Faroe Islands,FRO,Europe
 Finland,FIN,Europe
 France,FRA,Europe
 Georgia,GEO,Europe
 Germany,GER,Europe
 Gibraltar,GIB,Europe
 Greece,GRE,Europe
 Hungary,HUN,Europe
 Iceland,ISL,Europe
 Israel,ISR,Europe
 Italy,ITA,Europe
 Kazakhstan,KAZ,Europe
 Kosovo,KVX,Europe
 Latvia,LVA,Europe
 Liechtenstein,LIE,Europe
 Lithuania,LTU,Europe
 Luxembourg,LUX,Europe
 Malta,MLT,Europe
 Moldova,MDA,Europe
 Montenegro,MNE,Europe
 Netherlands,NED,Europe
 North Macedonia,MKD,Europe
 Northern Ireland,NIR,Europe
 Norway,NOR,Europe
 Poland,POL,Europe
 Portugal,POR,Europe
 Republic of Ireland,IRL,Europe
 Romania,ROU,Europe
 Russia,RUS,Europe
 San Marino,SMR,Europe
 Scotland,SCO,Europe
 Serbia,SRB,Europe
 Slovakia,SVK,Europe
 Slovenia,SVN,Europe
 Spain,ESP,Europe
 Sweden,SWE,Europe
 Switzerland,SUI,Europe
 Turkey,TUR,Europe
 Ukraine,UKR,Europe
 Wales,WAL,Europe
 Anguilla,AIA,"North America, Central America and the Caribbean"
 Antigua and Barbuda,ATG,"North America, Central America and the Caribbean"
 Aruba,ARU,"North America, Central America and the Caribbean"
 Bahamas,BAH,"North America, Central America and the Caribbean"
 Barbados,BRB,"North America, Central America and the Caribbean"
 Belize,BLZ,"North America, Central America and the Caribbean"
 Bermuda,BER,"North America, Central America and the Caribbean"
 Bonaire,BOE,"North America, Central America and the Caribbean"
 British Virgin Islands,VGB,"North America, Central America and the Caribbean"
 Canada,CAN,"North America, Central America and the Caribbean"
 Cayman Islands,CAY,"North America, Central America and the Caribbean"
 Costa Rica,CRC,"North America, Central America and the Caribbean"
 Cuba,CUB,"North America, Central America and the Caribbean"
 Curaçao,CUW,"North America, Central America and the Caribbean"
 Dominica,DMA,"North America, Central America and the Caribbean"
 Dominican Republic,DOM,"North America, Central America and the Caribbean"
 El Salvador,SLV,"North America, Central America and the Caribbean"
 French Guiana,GYF,"North America, Central America and the Caribbean"
 Grenada,GRN,"North America, Central America and the Caribbean"
 Guadeloupe,GPE,"North America, Central America and the Caribbean"
 Guatemala,GUA,"North America, Central America and the Caribbean"
 Guyana,GUY,"North America, Central America and the Caribbean"
 Haiti,HAI,"North America, Central America and the Caribbean"
 Honduras,HON,"North America, Central America and the Caribbean"
 Jamaica,JAM,"North America, Central America and the Caribbean"
 Martinique,MTQ,"North America, Central America and the Caribbean"
 Mexico,MEX,"North America, Central America and the Caribbean"
 Montserrat,MSR,"North America, Central America and the Caribbean"
 Nicaragua,NCA,"North America, Central America and the Caribbean"
 Panama,PAN,"North America, Central America and the Caribbean"
 Puerto Rico,PUR,"North America, Central America and the Caribbean"
 Saint Kitts and Nevis,SKN,"North America, Central America and the Caribbean"
,,"North America, Central America and the Caribbean"
 Saint Lucia,LCA,"North America, Central America and the Caribbean"
 Saint Martin,SMT,"North America, Central America and the Caribbean"
 Saint Vincent and the Grenadines,VIN,"North America, Central America and the Caribbean"
 Sint Maarten,SXM,"North America, Central America and the Caribbean"
 Suriname,SUR,"North America, Central America and the Caribbean"
 Trinidad and Tobago,TRI,"North America, Central America and the Caribbean"
 Turks and Caicos Islands,TCA,"North America, Central America and the Caribbean"
 United States of America,USA,"North America, Central America and the Caribbean"
 United States Virgin Islands,VIR,"North America, Central America and the Caribbean"
Country,Code,South America
 American Samoa,ASA,South America
 Cook Islands,COK,South America
 Fiji,FIJ,South America
 Kiribati,KIR,South America
 New Caledonia,NCL,South America
 New Zealand,NZL,South America
 Papua New Guinea,PNG,South America
 Samoa,SAM,South America
 Solomon Islands,SOL,South America
 Tahiti (French Polynesia),TAH,South America
 Tonga,TGA,South America
 Tuvalu,TUV,South America
 Vanuatu,VAN,South America
